player,position,team,weight,usd,usd_per_troy_oz,headshot
Jonah Williams,IDL,Vikings,275,302400,75.40380871519915,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/p32b1m1zcspb6rccxksg"
Jonathan Harris,IDL,Dolphins,282,302400,73.53208296694952,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xgluw2syx3m7vbrjerpg"
Jalyn Holmes,IDL,Jets,270,302400,76.80017554325839,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oz0tnktobolewzq0rjpq"
Abdullah Anderson,IDL,Titans,295,302400,70.29168609043988,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lmz7sewlenweyfvntro6"
Kyle Peko,IDL,Lions,305,302400,67.98704064485169,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fjkxpymzwv4qn2qui5me"
Sheldon Day,IDL,Commanders,293,302400,70.77149282143264,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/i2gh05uxbvacyknpibpb"
Carlos Watkins,IDL,Commanders,309,302400,67.106949503818,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/o69niurwdydh4pxvujru"
James Lynch,IDL,Titans,295,302400,70.29168609043988,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/w7590mlordqygktn4c3m"
T.J. Watt,ED,Steelers,252,28002750,7619.8133350835415,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/r1ktugphegyoqsbbhrau"
Nick Bosa,ED,49ers,263,34000000,8864.767682206631,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gm1nmlg5jsa0mh9vl5ms"
Myles Garrett,ED,Browns,272,25000000,6302.535414198594,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/y33rmtjxhgil7cjcftlc"
Maxx Crosby,ED,Raiders,247,23500000,6524.01722551537,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/j5dphk7ntlwa3hciktfx"
Joshua Hines-Allen,ED,Jaguars,252,28250000,7687.092400428888,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q807jedjb7igab4graoe"
Brian Burns,ED,Giants,218,28200000,8870.269291939247,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xebyudtwsbfaqrkhstd8"
Montez Sweat,ED,Bears,245,24500000,6857.15853064807,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ftcyuaiwxjmivippsrpy"
